  Iteration information for myTAO_ solve.
310 TAO,  Function value: 0.0206886,  Residual: 2.68899e-06 
311 TAO,  Function value: 0.0206886,  Residual: 2.68497e-06 
312 TAO,  Function value: 0.0206886,  Residual: 2.68741e-06 
313 TAO,  Function value: 0.0206886,  Residual: 2.69509e-06 
314 TAO,  Function value: 0.0206886,  Residual: 2.75327e-06 
315 TAO,  Function value: 0.0206885,  Residual: 2.70264e-06 
316 TAO,  Function value: 0.0206885,  Residual: 2.69131e-06 
317 TAO,  Function value: 0.0206885,  Residual: 2.68732e-06 
318 TAO,  Function value: 0.0206885,  Residual: 2.72659e-06 
319 TAO,  Function value: 0.0206884,  Residual: 2.73367e-06 
320 TAO,  Function value: 0.0206884,  Residual: 2.66945e-06 
321 TAO,  Function value: 0.0206884,  Residual: 2.65355e-06 
322 TAO,  Function value: 0.0206884,  Residual: 2.65141e-06 
323 TAO,  Function value: 0.0206884,  Residual: 2.73501e-06 
324 TAO,  Function value: 0.0206883,  Residual: 2.68187e-06 
325 TAO,  Function value: 0.0206883,  Residual: 2.67944e-06 
326 TAO,  Function value: 0.0206883,  Residual: 2.69488e-06 
327 TAO,  Function value: 0.0206883,  Residual: 2.80632e-06 
328 TAO,  Function value: 0.0206883,  Residual: 2.79539e-06 
329 TAO,  Function value: 0.0206883,  Residual: 2.80158e-06 
330 TAO,  Function value: 0.0206883,  Residual: 2.82953e-06 
331 TAO,  Function value: 0.0206882,  Residual: 2.95503e-06 
332 TAO,  Function value: 0.0206882,  Residual: 2.84007e-06 
333 TAO,  Function value: 0.0206882,  Residual: 2.79773e-06 
334 TAO,  Function value: 0.0206882,  Residual: 2.78247e-06 
335 TAO,  Function value: 0.0206881,  Residual: 2.78378e-06 
336 TAO,  Function value: 0.0206881,  Residual: 2.80232e-06 
337 TAO,  Function value: 0.020688,  Residual: 2.74249e-06 
338 TAO,  Function value: 0.020688,  Residual: 2.7226e-06 
339 TAO,  Function value: 0.0206879,  Residual: 2.72487e-06 
340 TAO,  Function value: 0.0206879,  Residual: 2.72337e-06 
341 TAO,  Function value: 0.0206879,  Residual: 2.63991e-06 
342 TAO,  Function value: 0.0206878,  Residual: 2.55666e-06 
343 TAO,  Function value: 0.0206878,  Residual: 2.55156e-06 
344 TAO,  Function value: 0.0206878,  Residual: 2.53395e-06 
345 TAO,  Function value: 0.0206878,  Residual: 2.54419e-06 
346 TAO,  Function value: 0.0206877,  Residual: 2.56134e-06 
347 TAO,  Function value: 0.0206877,  Residual: 2.57536e-06 
348 TAO,  Function value: 0.0206877,  Residual: 2.60422e-06 
349 TAO,  Function value: 0.0206877,  Residual: 2.60526e-06 
350 TAO,  Function value: 0.0206877,  Residual: 2.60319e-06 
351 TAO,  Function value: 0.0206876,  Residual: 2.67386e-06 
352 TAO,  Function value: 0.0206876,  Residual: 2.73225e-06 
353 TAO,  Function value: 0.0206876,  Residual: 2.58179e-06 
354 TAO,  Function value: 0.0206876,  Residual: 2.52549e-06 
355 TAO,  Function value: 0.0206875,  Residual: 2.51619e-06 
356 TAO,  Function value: 0.0206875,  Residual: 2.5432e-06 
357 TAO,  Function value: 0.0206875,  Residual: 2.48733e-06 
358 TAO,  Function value: 0.0206874,  Residual: 2.41811e-06 
359 TAO,  Function value: 0.0206874,  Residual: 2.33239e-06 
360 TAO,  Function value: 0.0206874,  Residual: 2.3313e-06 
361 TAO,  Function value: 0.0206874,  Residual: 2.23037e-06 
362 TAO,  Function value: 0.0206873,  Residual: 2.21568e-06 
363 TAO,  Function value: 0.0206873,  Residual: 2.21242e-06 
364 TAO,  Function value: 0.0206873,  Residual: 2.23065e-06 
365 TAO,  Function value: 0.0206873,  Residual: 2.19519e-06 
366 TAO,  Function value: 0.0206873,  Residual: 2.17693e-06 
367 TAO,  Function value: 0.0206873,  Residual: 2.1767e-06 
368 TAO,  Function value: 0.0206873,  Residual: 2.19393e-06 
369 TAO,  Function value: 0.0206873,  Residual: 2.18896e-06 
370 TAO,  Function value: 0.0206873,  Residual: 2.20527e-06 
371 TAO,  Function value: 0.0206872,  Residual: 2.23478e-06 
372 TAO,  Function value: 0.0206872,  Residual: 2.23904e-06 
373 TAO,  Function value: 0.0206872,  Residual: 2.25134e-06 
374 TAO,  Function value: 0.0206872,  Residual: 2.27909e-06 
375 TAO,  Function value: 0.0206872,  Residual: 2.27938e-06 
376 TAO,  Function value: 0.0206872,  Residual: 2.29374e-06 
377 TAO,  Function value: 0.0206872,  Residual: 2.32141e-06 
378 TAO,  Function value: 0.0206872,  Residual: 2.31294e-06 
379 TAO,  Function value: 0.0206871,  Residual: 2.30189e-06 
380 TAO,  Function value: 0.0206871,  Residual: 2.30834e-06 
381 TAO,  Function value: 0.0206871,  Residual: 2.28453e-06 
382 TAO,  Function value: 0.0206871,  Residual: 2.27883e-06 
383 TAO,  Function value: 0.0206871,  Residual: 2.28441e-06 
384 TAO,  Function value: 0.0206871,  Residual: 2.33103e-06 
385 TAO,  Function value: 0.0206871,  Residual: 2.29392e-06 
386 TAO,  Function value: 0.0206871,  Residual: 2.27728e-06 
