  Iteration information for myTAO_ solve.
338 TAO,  Function value: 0.082057,  Residual: 0.000173178 
339 TAO,  Function value: 0.0820568,  Residual: 0.000168806 
340 TAO,  Function value: 0.0820554,  Residual: 0.000172687 
341 TAO,  Function value: 0.082055,  Residual: 0.000173003 
342 TAO,  Function value: 0.0820545,  Residual: 0.000173009 
343 TAO,  Function value: 0.0820532,  Residual: 0.000168398 
344 TAO,  Function value: 0.082052,  Residual: 0.000168214 
345 TAO,  Function value: 0.0820509,  Residual: 0.00016733 
346 TAO,  Function value: 0.0820495,  Residual: 0.000167212 
347 TAO,  Function value: 0.0820485,  Residual: 0.000166838 
348 TAO,  Function value: 0.0820478,  Residual: 0.000166019 
349 TAO,  Function value: 0.0820476,  Residual: 0.000164946 
350 TAO,  Function value: 0.0820472,  Residual: 0.00016504 
351 TAO,  Function value: 0.0820464,  Residual: 0.000164985 
352 TAO,  Function value: 0.0820459,  Residual: 0.000164858 
353 TAO,  Function value: 0.0820456,  Residual: 0.000164859 
354 TAO,  Function value: 0.0820451,  Residual: 0.000164854 
355 TAO,  Function value: 0.0820447,  Residual: 0.000164827 
356 TAO,  Function value: 0.0820444,  Residual: 0.000164778 
357 TAO,  Function value: 0.0820441,  Residual: 0.000164731 
358 TAO,  Function value: 0.0820439,  Residual: 9.61531e-06 
359 TAO,  Function value: 0.0820434,  Residual: 9.67734e-06 
360 TAO,  Function value: 0.0820429,  Residual: 9.55848e-06 
361 TAO,  Function value: 0.0820424,  Residual: 9.12658e-06 
362 TAO,  Function value: 0.0820419,  Residual: 8.87506e-06 
363 TAO,  Function value: 0.0820413,  Residual: 8.97503e-06 
364 TAO,  Function value: 0.0820407,  Residual: 9.6002e-06 
365 TAO,  Function value: 0.08204,  Residual: 9.72059e-06 
366 TAO,  Function value: 0.0820391,  Residual: 1.02292e-05 
367 TAO,  Function value: 0.0820385,  Residual: 1.07909e-05 
368 TAO,  Function value: 0.0820377,  Residual: 1.1091e-05 
369 TAO,  Function value: 0.082037,  Residual: 1.19721e-05 
370 TAO,  Function value: 0.0820363,  Residual: 1.30296e-05 
371 TAO,  Function value: 0.0820362,  Residual: 1.33738e-05 
372 TAO,  Function value: 0.0820358,  Residual: 1.26787e-05 
373 TAO,  Function value: 0.0820348,  Residual: 1.25941e-05 
374 TAO,  Function value: 0.082034,  Residual: 1.33254e-05 
375 TAO,  Function value: 0.0820331,  Residual: 1.30856e-05 
376 TAO,  Function value: 0.0820325,  Residual: 1.32538e-05 
377 TAO,  Function value: 0.0820315,  Residual: 1.44123e-05 
378 TAO,  Function value: 0.0820304,  Residual: 1.55274e-05 
379 TAO,  Function value: 0.0820293,  Residual: 1.52895e-05 
380 TAO,  Function value: 0.0820283,  Residual: 1.63986e-05 
381 TAO,  Function value: 0.0820273,  Residual: 1.8149e-05 
382 TAO,  Function value: 0.0820272,  Residual: 1.72973e-05 
383 TAO,  Function value: 0.0820271,  Residual: 1.74903e-05 
384 TAO,  Function value: 0.0820268,  Residual: 1.74948e-05 
385 TAO,  Function value: 0.0820262,  Residual: 1.64511e-05 
386 TAO,  Function value: 0.082026,  Residual: 1.63625e-05 
387 TAO,  Function value: 0.0820253,  Residual: 1.58288e-05 
388 TAO,  Function value: 0.0820244,  Residual: 1.53178e-05 
389 TAO,  Function value: 0.0820234,  Residual: 1.5034e-05 
390 TAO,  Function value: 0.0820225,  Residual: 1.48361e-05 
391 TAO,  Function value: 0.0820217,  Residual: 1.44598e-05 
392 TAO,  Function value: 0.0820211,  Residual: 1.42567e-05 
393 TAO,  Function value: 0.0820205,  Residual: 1.45586e-05 
394 TAO,  Function value: 0.0820202,  Residual: 1.46007e-05 
395 TAO,  Function value: 0.0820197,  Residual: 1.42545e-05 
396 TAO,  Function value: 0.0820192,  Residual: 1.4235e-05 
397 TAO,  Function value: 0.0820188,  Residual: 1.43401e-05 
398 TAO,  Function value: 0.0820183,  Residual: 1.479e-05 
399 TAO,  Function value: 0.0820178,  Residual: 1.51032e-05 
400 TAO,  Function value: 0.0820172,  Residual: 1.4836e-05 
401 TAO,  Function value: 0.0820164,  Residual: 1.4839e-05 
402 TAO,  Function value: 0.0820157,  Residual: 1.4838e-05 
403 TAO,  Function value: 0.082015,  Residual: 1.50884e-05 
404 TAO,  Function value: 0.0820144,  Residual: 1.50295e-05 
405 TAO,  Function value: 0.0820138,  Residual: 1.48182e-05 
406 TAO,  Function value: 0.0820128,  Residual: 1.48682e-05 
407 TAO,  Function value: 0.082012,  Residual: 1.49018e-05 
408 TAO,  Function value: 0.0820111,  Residual: 1.5519e-05 
409 TAO,  Function value: 0.0820101,  Residual: 1.52282e-05 
410 TAO,  Function value: 0.0820091,  Residual: 1.49995e-05 
411 TAO,  Function value: 0.0820078,  Residual: 1.47383e-05 
412 TAO,  Function value: 0.0820068,  Residual: 1.53643e-05 
413 TAO,  Function value: 0.0820056,  Residual: 1.50925e-05 
414 TAO,  Function value: 0.0820047,  Residual: 1.53789e-05 
415 TAO,  Function value: 0.0820043,  Residual: 1.59599e-05 
416 TAO,  Function value: 0.0820038,  Residual: 1.63221e-05 
417 TAO,  Function value: 0.082003,  Residual: 1.68668e-05 
418 TAO,  Function value: 0.0820023,  Residual: 1.75405e-05 
419 TAO,  Function value: 0.0820017,  Residual: 1.83166e-05 
420 TAO,  Function value: 0.0820011,  Residual: 1.84149e-05 
421 TAO,  Function value: 0.0820004,  Residual: 1.8531e-05 
422 TAO,  Function value: 0.0819997,  Residual: 1.87678e-05 
423 TAO,  Function value: 0.0819989,  Residual: 1.96656e-05 
424 TAO,  Function value: 0.0819978,  Residual: 2.01594e-05 
425 TAO,  Function value: 0.0819971,  Residual: 2.10534e-05 
426 TAO,  Function value: 0.081996,  Residual: 2.09563e-05 
427 TAO,  Function value: 0.0819951,  Residual: 2.09831e-05 
428 TAO,  Function value: 0.0819943,  Residual: 2.07401e-05 
429 TAO,  Function value: 0.0819935,  Residual: 2.02366e-05 
430 TAO,  Function value: 0.0819924,  Residual: 1.95697e-05 
431 TAO,  Function value: 0.0819907,  Residual: 1.87055e-05 
